date,ticker,regime,target,text,event_type
2021-02-05,TSLA,-1,0,ret_1:0.0026 corr_60d:0.2780 beta_60d:1.2722 SMA_20:282.9895 SMA_50:242.3535 RSI_14:58.3031 MACD_12_26_9:12.6869 MACDh_12_26_9:-3.2447 MACDs_12_26_9:15.9316 BBL_20_2:268.5665 BBM_20_2:282.9895 BBU_20_2:297.4125 BBB_20_2:10.1933 BBP_20_2:0.5377 EMA_10:282.5687 EMA_50:237.9942 EMA_GAP:0.1873 ADX_14:23.4964 ADXR_14_2:24.7014 DMP_14:27.2759 DMN_14:22.3765 STOCHk_14_3_3:60.0194 STOCHd_14_3_3:62.8771 STOCHh_14_3_3:-2.8577 ret_5:0.0740 mom_10:0.0066 vol_10:0.0351 rng_1:0.0303 zret_20:-0.0054 dist_20h:-0.0349 dist_20l:0.0740 skew_20:0.0247 kurt_20:0.2545 vol_ratio_20:-0.4116,market_state
2021-02-08,TSLA,-1,0,ret_1:0.0131 corr_60d:0.2736 beta_60d:1.2377 SMA_20:282.7128 SMA_50:244.4071 RSI_14:59.9406 MACD_12_26_9:12.2373 MACDh_12_26_9:-2.9554 MACDs_12_26_9:15.1928 BBL_20_2:268.8951 BBM_20_2:282.7128 BBU_20_2:296.5306 BBB_20_2:9.7751 BBP_20_2:0.6843 EMA_10:283.5211 EMA_50:239.9477 EMA_GAP:0.1816 ADX_14:22.8581 ADXR_14_2:23.7015 DMP_14:28.4774 DMN_14:21.2385 STOCHk_14_3_3:62.4383 STOCHd_14_3_3:62.7247 STOCHh_14_3_3:-0.2863 ret_5:0.0281 mom_10:-0.0197 vol_10:0.0327 rng_1:0.0267 zret_20:0.4089 dist_20h:-0.0223 dist_20l:0.0881 skew_20:-0.3259 kurt_20:0.4746 vol_ratio_20:-0.3002,market_state
2021-02-09,TSLA,-1,0,ret_1:-0.0162 corr_60d:0.2762 beta_60d:1.2600 SMA_20:283.3507 SMA_50:246.2435 RSI_14:56.9365 MACD_12_26_9:11.3744 MACDh_12_26_9:-3.0547 MACDs_12_26_9:14.4291 BBL_20_2:270.7410 BBM_20_2:283.3507 BBU_20_2:295.9603 BBB_20_2:8.9004 BBP_20_2:0.4922 EMA_10:283.4542 EMA_50:241.6420 EMA_GAP:0.1730 ADX_14:21.8310 ADXR_14_2:22.6637 DMP_14:27.2128 DMN_14:22.9593 STOCHk_14_3_3:62.2915 STOCHd_14_3_3:61.5831 STOCHh_14_3_3:0.7084 ret_5:-0.0267 mom_10:-0.0381 vol_10:0.0330 rng_1:0.0212 zret_20:-0.6734 dist_20h:-0.0381 dist_20l:0.0705 skew_20:0.3327 kurt_20:-0.2277 vol_ratio_20:-0.4302,market_state
2021-02-10,TSLA,-1,0,ret_1:-0.0526 corr_60d:0.2665 beta_60d:1.2600 SMA_20:282.6070 SMA_50:247.7039 RSI_14:48.5563 MACD_12_26_9:9.3818 MACDh_12_26_9:-4.0379 MACDs_12_26_9:13.4196 BBL_20_2:268.3856 BBM_20_2:282.6070 BBU_20_2:296.8284 BBB_20_2:10.0644 BBP_20_2:-0.0039 EMA_10:280.6940 EMA_50:242.6864 EMA_GAP:0.1566 ADX_14:20.8677 ADXR_14_2:21.8629 DMP_14:24.5358 DMN_14:29.0041 STOCHk_14_3_3:49.1549 STOCHd_14_3_3:57.9616 STOCHh_14_3_3:-8.8067 ret_5:-0.0583 mom_10:-0.0687 vol_10:0.0362 rng_1:0.0557 zret_20:-1.7615 dist_20h:-0.0886 dist_20l:0.0142 skew_20:0.2569 kurt_20:0.0878 vol_ratio_20:0.3876,market_state
2021-02-11,TSLA,-1,0,ret_1:0.0085 corr_60d:0.2846 beta_60d:1.3671 SMA_20:281.8945 SMA_50:249.3309 RSI_14:49.7761 MACD_12_26_9:7.8955 MACDh_12_26_9:-4.4193 MACDs_12_26_9:12.3148 BBL_20_2:266.7845 BBM_20_2:281.8945 BBU_20_2:297.0045 BBB_20_2:10.7203 BBP_20_2:0.1247 EMA_10:278.8503 EMA_50:243.7792 EMA_GAP:0.1439 ADX_14:19.9733 ADXR_14_2:20.9021 DMP_14:23.1399 DMN_14:27.3541 STOCHk_14_3_3:34.8130 STOCHd_14_3_3:48.7531 STOCHh_14_3_3:-13.9401 ret_5:-0.0451 mom_10:-0.0285 vol_10:0.0352 rng_1:0.0347 zret_20:0.3737 dist_20h:-0.0809 dist_20l:0.0228 skew_20:0.2420 kurt_20:0.0598 vol_ratio_20:-0.1525,market_state
2021-02-12,TSLA,-1,0,ret_1:0.0055 corr_60d:0.2944 beta_60d:1.4298 SMA_20:281.4132 SMA_50:250.8733 RSI_14:50.5987 MACD_12_26_9:6.7597 MACDh_12_26_9:-4.4441 MACDs_12_26_9:11.2038 BBL_20_2:265.7034 BBM_20_2:281.4132 BBU_20_2:297.1229 BBB_20_2:11.1649 BBP_20_2:0.2017 EMA_10:277.6121 EMA_50:244.8875 EMA_GAP:0.1336 ADX_14:19.5750 ADXR_14_2:20.2214 DMP_14:21.6333 DMN_14:28.9099 STOCHk_14_3_3:25.9628 STOCHd_14_3_3:36.6436 STOCHh_14_3_3:-10.6807 ret_5:-0.0424 mom_10:0.0285 vol_10:0.0309 rng_1:0.0392 zret_20:0.2399 dist_20h:-0.0758 dist_20l:0.0285 skew_20:0.1492 kurt_20:0.0466 vol_ratio_20:-0.0545,market_state
2021-02-16,TSLA,-1,0,ret_1:-0.0244 corr_60d:0.3300 beta_60d:1.5769 SMA_20:280.9142 SMA_50:252.3893 RSI_14:46.9073 MACD_12_26_9:5.2636 MACDh_12_26_9:-4.7521 MACDs_12_26_9:10.0158 BBL_20_2:263.8913 BBM_20_2:280.9142 BBU_20_2:297.9370 BBB_20_2:12.1196 BBP_20_2:0.0445 EMA_10:275.3929 EMA_50:245.6921 EMA_GAP:0.1209 ADX_14:19.0772 ADXR_14_2:19.5252 DMP_14:21.1160 DMN_14:27.2073 STOCHk_14_3_3:23.9368 STOCHd_14_3_3:28.2375 STOCHh_14_3_3:-4.3008 ret_5:-0.0778 mom_10:-0.0519 vol_10:0.0251 rng_1:0.0359 zret_20:-0.8011 dist_20h:-0.0984 dist_20l:0.0034 skew_20:0.1525 kurt_20:0.0168 vol_ratio_20:-0.1814,market_state
2021-02-17,TSLA,-1,0,ret_1:0.0024 corr_60d:0.4275 beta_60d:1.9857 SMA_20:280.1408 SMA_50:253.7545 RSI_14:47.3087 MACD_12_26_9:4.0828 MACDh_12_26_9:-4.7464 MACDs_12_26_9:8.8292 BBL_20_2:261.9336 BBM_20_2:280.1408 BBU_20_2:298.3480 BBB_20_2:12.9986 BBP_20_2:0.1130 EMA_10:273.6942 EMA_50:246.4905 EMA_GAP:0.1104 ADX_14:19.3808 ADXR_14_2:19.4779 DMP_14:19.4795 DMN_14:31.3328 STOCHk_14_3_3:25.3588 STOCHd_14_3_3:25.0861 STOCHh_14_3_3:0.2726 ret_5:-0.0604 mom_10:-0.0855 vol_10:0.0200 rng_1:0.0474 zret_20:0.1734 dist_20h:-0.0962 dist_20l:0.0058 skew_20:0.2439 kurt_20:0.2864 vol_ratio_20:0.0732,market_state
2021-02-18,TSLA,-1,0,ret_1:-0.0135 corr_60d:0.4306 beta_60d:1.9942 SMA_20:279.0897 SMA_50:255.0101 RSI_14:45.2522 MACD_12_26_9:2.8248 MACDh_12_26_9:-4.8035 MACDs_12_26_9:7.6283 BBL_20_2:259.4079 BBM_20_2:279.0897 BBU_20_2:298.7714 BBB_20_2:14.1042 BBP_20_2:0.0775 EMA_10:271.6516 EMA_50:247.1167 EMA_GAP:0.0993 ADX_14:19.6627 ADXR_14_2:19.3699 DMP_14:18.5825 DMN_14:29.8899 STOCHk_14_3_3:22.1273 STOCHd_14_3_3:23.8076 STOCHh_14_3_3:-1.6803 ret_5:-0.0217 mom_10:-0.0788 vol_10:0.0197 rng_1:0.0234 zret_20:-0.3566 dist_20h:-0.1084 dist_20l:0.0000 skew_20:0.3593 kurt_20:0.3348 vol_ratio_20:-0.2467,market_state
2021-02-19,TSLA,-1,0,ret_1:-0.0077 corr_60d:0.4250 beta_60d:1.9774 SMA_20:278.0282 SMA_50:255.9403 RSI_14:44.0871 MACD_12_26_9:1.6452 MACDh_12_26_9:-4.7864 MACDs_12_26_9:6.4317 BBL_20_2:256.7879 BBM_20_2:278.0282 BBU_20_2:299.2685 BBB_20_2:15.2792 BBP_20_2:0.0858 EMA_10:269.6119 EMA_50:247.6390 EMA_GAP:0.0887 ADX_14:19.8388 ADXR_14_2:19.6098 DMP_14:18.2549 DMN_14:28.6297 STOCHk_14_3_3:22.7305 STOCHd_14_3_3:23.4055 STOCHh_14_3_3:-0.6751 ret_5:-0.0374 mom_10:-0.0808 vol_10:0.0196 rng_1:0.0249 zret_20:-0.1489 dist_20h:-0.1153 dist_20l:0.0000 skew_20:0.3666 kurt_20:0.3341 vol_ratio_20:-0.2021,market_state
2021-02-22,TSLA,-1,0,ret_1:-0.0855 corr_60d:0.4427 beta_60d:2.1068 SMA_20:275.8258 SMA_50:256.3711 RSI_14:33.7925 MACD_12_26_9:-1.0739 MACDh_12_26_9:-6.0044 MACDs_12_26_9:4.9306 BBL_20_2:248.5122 BBM_20_2:275.8258 BBU_20_2:303.1395 BBB_20_2:19.8050 BBP_20_2:-0.1894 EMA_10:263.8946 EMA_50:247.2675 EMA_GAP:0.0672 ADX_14:21.3980 ADXR_14_2:20.5303 DMP_14:15.6529 DMN_14:38.0148 STOCHk_14_3_3:13.4053 STOCHd_14_3_3:19.4210 STOCHh_14_3_3:-6.0157 ret_5:-0.1245 mom_10:-0.1616 vol_10:0.0308 rng_1:0.0816 zret_20:-2.3160 dist_20h:-0.1909 dist_20l:0.0000 skew_20:-0.2023 kurt_20:0.6991 vol_ratio_20:0.5139,market_state
2021-02-23,TSLA,-1,0,ret_1:-0.0219 corr_60d:0.4117 beta_60d:1.9878 SMA_20:272.7932 SMA_50:257.0002 RSI_14:31.9113 MACD_12_26_9:-3.6084 MACDh_12_26_9:-6.8312 MACDs_12_26_9:3.2228 BBL_20_2:240.9532 BBM_20_2:272.7932 BBU_20_2:304.6332 BBB_20_2:23.3437 BBP_20_2:-0.1257 EMA_10:258.2677 EMA_50:246.7059 EMA_GAP:0.0469 ADX_14:23.9641 ADXR_14_2:21.9015 DMP_14:12.9773 DMN_14:47.8407 STOCHk_14_3_3:16.5405 STOCHd_14_3_3:17.5588 STOCHh_14_3_3:-1.0182 ret_5:-0.1223 mom_10:-0.1906 vol_10:0.0289 rng_1:0.1354 zret_20:-0.3446 dist_20h:-0.2086 dist_20l:0.0000 skew_20:-0.1242 kurt_20:1.2711 vol_ratio_20:1.5726,market_state
2021-02-24,TSLA,-1,0,ret_1:0.0618 corr_60d:0.4385 beta_60d:2.1201 SMA_20:270.4420 SMA_50:257.7665 RSI_14:41.5703 MACD_12_26_9:-4.4049 MACDh_12_26_9:-6.1021 MACDs_12_26_9:1.6972 BBL_20_2:238.3766 BBM_20_2:270.4420 BBU_20_2:302.5074 BBB_20_2:23.7134 BBP_20_2:0.1398 EMA_10:256.2808 EMA_50:246.7308 EMA_GAP:0.0387 ADX_14:25.3302 ADXR_14_2:23.3641 DMP_14:17.3300 DMN_14:43.5715 STOCHk_14_3_3:26.9607 STOCHd_14_3_3:18.9688 STOCHh_14_3_3:7.9918 ret_5:-0.0703 mom_10:-0.1265 vol_10:0.0390 rng_1:0.0685 zret_20:1.9678 dist_20h:-0.1498 dist_20l:0.0618 skew_20:0.1350 kurt_20:0.6548 vol_ratio_20:0.3837,market_state
2021-02-25,TSLA,-1,1,ret_1:-0.0806 corr_60d:0.4976 beta_60d:2.3013 SMA_20:267.4097 SMA_50:258.2481 RSI_14:34.3110 MACD_12_26_9:-6.5688 MACDh_12_26_9:-6.6128 MACDs_12_26_9:0.0440 BBL_20_2:231.3571 BBM_20_2:267.4097 BBU_20_2:303.4622 BBB_20_2:26.9643 BBP_20_2:-0.0548 EMA_10:251.0310 EMA_50:245.9730 EMA_GAP:0.0206 ADX_14:26.8760 ADXR_14_2:25.4201 DMP_14:15.2678 DMN_14:42.3160 STOCHk_14_3_3:34.2627 STOCHd_14_3_3:25.9213 STOCHh_14_3_3:8.3414 ret_5:-0.1336 mom_10:-0.1523 vol_10:0.0430 rng_1:0.0977 zret_20:-1.7855 dist_20h:-0.2183 dist_20l:0.0000 skew_20:-0.0192 kurt_20:0.1610 vol_ratio_20:0.4370,market_state
2021-02-26,TSLA,-1,1,ret_1:-0.0099 corr_60d:0.4944 beta_60d:2.2733 SMA_20:264.7442 SMA_50:258.4859 RSI_14:33.6009 MACD_12_26_9:-8.3680 MACDh_12_26_9:-6.7296 MACDs_12_26_9:-1.6384 BBL_20_2:224.6971 BBM_20_2:264.7442 BBU_20_2:304.7912 BBB_20_2:30.2534 BBP_20_2:0.0059 EMA_10:246.3284 EMA_50:245.1570 EMA_GAP:0.0048 ADX_14:28.4377 ADXR_14_2:26.8839 DMP_14:14.0763 DMN_14:40.8443 STOCHk_14_3_3:31.2684 STOCHd_14_3_3:30.8306 STOCHh_14_3_3:0.4379 ret_5:-0.1354 mom_10:-0.1678 vol_10:0.0422 rng_1:0.0699 zret_20:-0.0000 dist_20h:-0.2260 dist_20l:0.0000 skew_20:-0.1096 kurt_20:0.2990 vol_ratio_20:0.4731,market_state
